date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-05-25,28.4,26.1,31.7,4.8,,101,23,,1020.7,
2015-05-26,28.4,26.7,31.7,0.8,,97,23.4,,1020.8,351
2015-05-27,28,24.4,31.1,2.3,,,20.5,,,
2015-05-28,26.9,24.4,30.6,0,,75,20.2,,1018.3,281
2015-05-29,27.1,22.8,30.6,0,,,16.6,,1017.5,
2015-05-30,27.6,24.4,31.1,0,,,15.5,,1016.8,
2015-05-31,27.1,23.9,30.6,19.6,,,10.4,,1016.8,
2015-06-01,27.4,24.4,30.6,0,,,11.5,,1017.7,148
2015-06-02,27,23.9,29.4,1.3,,,11.9,,1015.6,192
2015-06-03,26,22.2,28.9,2.5,,,10.1,,1013.4,268
2015-06-04,26.5,23.9,30.6,3.3,,,8.3,,,110
2015-06-05,27.3,25,30.6,6.1,,,10.4,,1014.5,117
2015-06-06,26.8,23.9,30.6,0.5,,,7.9,,1013.4,394
2015-06-07,26.2,22.8,31.1,0,,,11.9,,1015.2,
2015-06-08,27.5,23.9,31.1,0,,,11.5,,1016.7,
2015-06-09,26.8,23.3,31.1,19.3,,,6.1,,1015.8,
2015-06-10,27.3,23.9,31.1,0.3,,,11.2,,,260
2015-06-11,26.8,22.2,31.1,14,,,15.8,,1017.7,465
2015-06-12,29.4,27.2,32.2,0,,105,21.6,,1019.1,347
2015-06-13,29.1,27.8,31.7,0.5,,99,23.8,,1019,375
2015-06-14,28.5,25.6,31.1,2.3,,90,19.8,,1018.1,376
2015-06-15,28.1,25.6,31.7,1.8,,97,16.2,,,212
2015-06-16,28.9,25.6,32.2,0,,,13.3,,1019.1,
2015-06-17,28.9,25.6,32.2,0,,,13,,,281
2015-06-18,29.6,27.8,32.8,0,,116,14.8,,1018.9,752
2015-06-19,29.7,27.2,33.3,0,,,12.2,,1018.9,637
2015-06-20,29.3,26.7,33.3,0,,,11.2,,1019.1,416
2015-06-21,29.6,26.7,33.3,0,,,11.2,,1019.1,631
2015-06-22,29.6,27.2,32.8,1.5,,,13.7,,1019.4,652
2015-06-23,29.8,27.8,32.8,0,,114,16.6,,1020.2,644
2015-06-24,30.1,27.8,33.3,0,,,15.1,,1020.2,707
2015-06-25,29.8,27.2,33.3,0,,130,10.8,,1019.5,451
2015-06-26,28.8,25.6,32.2,20.3,,,7.9,,,491
2015-06-27,28.4,24.4,33.3,1.5,,,6.1,,,300
2015-06-28,27.8,26.1,32.8,8.4,,,9,,,367
2015-06-29,28.1,24.4,33.9,7.9,,,6.8,,1018.7,499
2015-06-30,28.9,25.6,35,0,,,9,,1019.7,543
2015-07-01,29.8,25.6,33.3,0,,,11.9,,1020.2,643
2015-07-02,30.1,26.7,33.3,1.8,,,15.5,,1019.1,669
2015-07-03,29.4,23.9,33.3,6.1,,,13,,,612
2015-07-04,28.6,25,32.8,0,,,13,,1019.2,700
2015-07-05,30.1,27.8,32.8,0.8,,115,16.9,,1020.4,681
2015-07-06,28.9,23.3,32.8,13.2,,,14,,1020.8,584
2015-07-07,29.6,27.8,32.8,0,,115,14.4,,1020.3,548
2015-07-08,29.7,26.7,32.8,0,,97,16.2,,1020.3,631
2015-07-09,29.3,25.6,32.8,3.8,,,16.9,,1019.9,
2015-07-10,29.4,25,32.8,0,,89,16.2,,1019.8,706
2015-07-11,29.6,26.1,33.3,0,,,11.2,,1019.3,657
2015-07-12,29.2,25.6,33.3,0,,,10.8,,1017.2,688
2015-07-13,29.1,25.6,33.9,8.4,,,9,,1015.2,414
2015-07-14,28.5,25.6,32.8,3.8,,,9.7,,1015.3,395
2015-07-15,27.3,23.3,32.2,11.2,,,7.9,,1016.8,339
2015-07-16,27.4,25.6,30.6,0.5,,,5.8,,1017.6,132
2015-07-17,28.1,23.9,33.3,0,,,7.6,,1017.3,405
2015-07-18,28.2,25,32.2,1.8,,,6.8,,1017.7,584
2015-07-19,29.2,25.6,32.8,0,,,7.6,,1017.5,691
2015-07-20,29.4,26.7,32.2,0,,,10.4,,1016.2,614
2015-07-21,28.9,26.1,33.3,12.4,,,5.8,,,316
2015-07-22,27.9,25,33.3,0.8,,,6.1,,1016.1,513
2015-07-23,28.9,25.6,33.9,1.5,,,7.9,,1017.4,512
2015-07-24,29.6,26.7,35,0,,,10.4,,1016.9,508
2015-07-25,27.1,22.8,31.1,27.2,,232,11.2,,1014.6,305
2015-07-26,26.4,24.4,29.4,4.8,,,10.1,,1014.1,273
2015-07-27,28.7,24.4,33.9,0,,207,12.6,,1015.5,562
2015-07-28,29.8,26.1,34.4,0,,,10.1,,1016,729
2015-07-29,29.6,26.1,35.6,0,,,9,,1015.9,473
2015-07-30,29.9,26.7,35,0,,,9.4,,1016.3,556
